Data,Valor,Descrição,Categoria
21/05/2023,2683.4,Salário,Salário
19/05/2023,2612.89,Salário,Salário
19/05/2023,-57.6,Alimentos Frescos,Supermercado
08/05/2023,-122.41,Eletrônicos Modernos,Compras
30/05/2023,-78.25,Arte e Cultura,Lazer
29/05/2023,-115.78,Compras Diárias,Compras
04/05/2023,-43.96,Coimbra Café,Café
20/05/2023,-22.77,Porto Gourmet,Restaurante
18/05/2023,-89.3,Arte e Cultura,Lazer
10/05/2023,-89.07,Lisboa Bistro,Restaurante
04/05/2023,-102.49,Lisboa Bistro,Restaurante
09/05/2023,-44.17,Cinema do Bairro,Lazer
06/05/2023,-134.67,Arte e Cultura,Lazer
20/05/2023,-82.84,Alimentos Frescos,Supermercado
19/05/2023,-114.11,Cinema do Bairro,Lazer
24/05/2023,-50.41,Coimbra Café,Café
16/05/2023,-117.19,Porto Gourmet,Restaurante
20/05/2023,-51.51,Compras Diárias,Compras
09/05/2023,-115.89,Compras Diárias,Compras
18/05/2023,-42.78,Compras Diárias,Compras
08/05/2023,-59.47,Parque Aventura,Lazer
02/05/2023,-138.61,Cinema do Bairro,Lazer
10/05/2023,-146.11,Parque Aventura,Lazer
10/05/2023,-139.07,Alimentos Frescos,Supermercado
04/05/2023,-116.44,Coimbra Café,Café
14/05/2023,-23.23,Porto Gourmet,Restaurante
15/05/2023,-13.37,Eletrônicos Modernos,Compras
02/05/2023,-102.04,Cinema do Bairro,Lazer
02/05/2023,-108.29,Mercado Central,Supermercado
16/05/2023,-149.83,Alimentos Frescos,Supermercado
08/05/2023,-19.63,Porto Gourmet,Restaurante
05/05/2023,-137.24,Livraria Cultural,Compras
